task_id,method_id,method_name,method_role,paragraph_role,evidence_file,evidence_fields,sample_unit,data_version,comparison_protocol,error_metric,sensitivity_scenario,stability_metric,conclusion_grade,claim_id,allowed_wording
q1_3,q1_3_main,ILR反事实反向位移,main,principle,config/config.json;code/1_3_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_3_claims,须链接claim_evidence并按门槛限定
q1_3,q1_3_main,ILR反事实反向位移,main,process,config/config.json;code/1_3_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_3_claims,须链接claim_evidence并按门槛限定
q1_3,q1_3_main,ILR反事实反向位移,main,result_validation,results/01_q1/q1_3_counterfactual_long.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_3_claims,须链接claim_evidence并按门槛限定
q2_1,q2_1_main,嵌套分组CV分类,main,why,results/02_q2/q2_1_model_comparison.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_1_claims,须链接claim_evidence并按门槛限定
q2_1,q2_1_main,嵌套分组CV分类,main,principle,config/config.json;code/2_1_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_1_claims,须链接claim_evidence并按门槛限定
q2_1,q2_1_main,嵌套分组CV分类,main,process,config/config.json;code/2_1_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_1_claims,须链接claim_evidence并按门槛限定
q2_1,q2_1_main,嵌套分组CV分类,main,result_validation,results/02_q2/q2_1_model_metrics.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_1_claims,须链接claim_evidence并按门槛限定
q2_2,q2_2_main,稳定亚类探索,main,why,results/02_q2/q2_2_cluster_metrics.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_2_claims,须链接claim_evidence并按门槛限定
q2_2,q2_2_main,稳定亚类探索,main,principle,config/config.json;code/2_2_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_2_claims,须链接claim_evidence并按门槛限定
q2_2,q2_2_main,稳定亚类探索,main,process,config/config.json;code/2_2_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_2_claims,须链接claim_evidence并按门槛限定
q2_2,q2_2_main,稳定亚类探索,main,result_validation,results/02_q2/q2_2_bootstrap_stability.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q2_2_claims,须链接claim_evidence并按门槛限定
q3,q3_main,冻结外推与拒识,main,why,results/03_q3/q3_applicability.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q3_claims,须链接claim_evidence并按门槛限定
q3,q3_main,冻结外推与拒识,main,principle,config/config.json;code/3_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q3_claims,须链接claim_evidence并按门槛限定
q3,q3_main,冻结外推与拒识,main,process,config/config.json;code/3_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q3_claims,须链接claim_evidence并按门槛限定
q3,q3_main,冻结外推与拒识,main,result_validation,results/03_q3/q3_unknown_predictions.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q3_claims,须链接claim_evidence并按门槛限定
q4,q4_main,比例性网络,main,why,results/04_q4/q4_nodes.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q4_claims,须链接claim_evidence并按门槛限定
q4,q4_main,比例性网络,main,principle,config/config.json;code/4_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q4_claims,须链接claim_evidence并按门槛限定
q4,q4_main,比例性网络,main,process,config/config.json;code/4_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q4_claims,须链接claim_evidence并按门槛限定
q4,q4_main,比例性网络,main,result_validation,results/04_q4/q4_differential_edges.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q4_claims,须链接claim_evidence并按门槛限定
